34971 & 10822420390057 & 155374873 & 95986951 & 376477989 & 40702703 & 233 & 413 & 89\\
10730 & 291879606832 & 228472382 & 320260752 & 167217288 & 4625566 & 136 & 14 & 304\\
167053 & 6673258379789 & 329663447 & 328624371 & 273723935 & 52648453 & 393 & 247 & 99\\
259754 & 1376845732664 & 313216286 & 36386704 & 158056782 & 473944 & 22 & 148 & 180\\
121504 & 7061089758030 & 772136136 & 317551920 & 105527580 & 1887368 & 468 & 618 & 150\\
51452 & 10343992443280 & 221317106 & 36503542 & 165552008 & 963940 & 270 & 1914 & 2\\
107573 & 4614462059233 & 85131791 & 464012333 & 772537577 & 808739 & 101 & 129 & 397\\
87981 & 1422808104157 & 25221665 & 501411629 & 530321089 & 67005061 & 63 & 83 & 235\\
13894 & 1356376628822 & 661091942 & 76203024 & 35073816 & 3324460 & 172 & 1710 & 146\\
92083 & 479177735597 & 921907615 & 77876597 & 193633973 & 2792567 & 41 & 723 & 371\\
138088 & 1249545622572 & 175909216 & 70245614 & 246420936 & 1941212 & 344 & 312 & 138\\
410883 & 243414920825 & 105658165 & 239796979 & 108474771 & 4646317 & 863 & 369 & 77\\
37706 & 11430392587090 & 39246218 & 120113616 & 446125528 & 38630924 & 144 & 6 & 474\\
4959 & 4067787093499 & 24759389 & 542265111 & 233971069 & 18963889 & 77 & 75 & 45\\
98982 & 2175280376182 & 100821554 & 1236938264 & 688213982 & 2188950 & 940 & 476 & 148\\
463510 & 1739069504278 & 139869568 & 75036270 & 11502710 & 175152 & 12 & 158 & 8\\
1644891 & 3495083184471 & 49560039 & 13720169 & 61430319 & 2537213 & 409 & 63 & 711\\
139281 & 351765857829 & 53398387 & 988468769 & 81428829 & 1802037 & 237 & 1005 & 381\\
394078 & 5755470980672 & 21353048 & 157391418 & 5971440 & 745400 & 186 & 630 & 36\\
107320 & 3895930206648 & 128708358 & 725491620 & 136598406 & 3992690 & 4 & 202 & 172\\
50804 & 12983588988310 & 451818596 & 99627184 & 118751320 & 1200558 & 4 & 2356 & 150\\
324855 & 5748524737771 & 325012143 & 223400605 & 452940573 & 1161801 & 75 & 105 & 699\\
135242 & 1728004920992 & 704083100 & 676644810 & 332982194 & 16588 & 164 & 754 & 276\\
145423 & 5441272197069 & 225423987 & 6201619 & 99470517 & 87319175 & 65 & 2927 & 367\\
123015 & 663595478753 & 528417633 & 1039183345 & 344036915 & 1417147 & 73 & 369 & 45\\
176602 & 6613491011748 & 294308518 & 273748166 & 688118388 & 18407516 & 294 & 1558 & 296\\
36304 & 1856766152536 & 161220750 & 455837768 & 83764346 & 26822008 & 1110 & 136 & 164\\
301760 & 1899256763434 & 113678664 & 585810298 & 243536474 & 1106016 & 202 & 204 & 0\\
63108 & 3427430057958 & 344589548 & 950945980 & 256413500 & 36730 & 146 & 0 & 794\\
360853 & 4036657978237 & 42220127 & 703414819 & 19806529 & 12418945 & 221 & 65 & 73\\
218412 & 900346511810 & 232196292 & 661249482 & 60944820 & 637880 & 164 & 608 & 14\\
3588550 & 2595831900490 & 1050246780 & 263865886 & 11475264 & 4786194 & 10 & 988 & 164\\
149598 & 1305294397646 & 187019180 & 111840076 & 240987176 & 2614908 & 308 & 14 & 8\\
407557 & 3926707064809 & 245517357 & 2022865 & 56030691 & 4436253 & 71 & 1959 & 1019\\
29832 & 1191540834240 & 19895442 & 174864454 & 443830502 & 7770892 & 14 & 4116 & 16\\
42600 & 3153800750690 & 293365844 & 355409068 & 681390488 & 557082 & 14 & 158 & 8\\
1601343 & 8202506007583 & 298681 & 200669301 & 185308965 & 4506947 & 103 & 221 & 373\\
23445 & 4971984587883 & 263411841 & 439607639 & 308089921 & 9394505 & 67 & 1169 & 247\\
233750 & 10790631655718 & 390750690 & 223805766 & 125872988 & 317398 & 478 & 162 & 12\\
49007 & 4536364976903 & 32133863 & 648138619 & 239303795 & 10757717 & 237 & 735 & 559\\
23680 & 6828193130916 & 104996518 & 39072626 & 200186108 & 32686 & 12 & 132 & 162\\
123578 & 4765629557230 & 156272448 & 54308150 & 57226240 & 13887404 & 188 & 1306 & 158\\
194223 & 1790585216809 & 183999215 & 880380253 & 335239229 & 13997805 & 221 & 693 & 71\\
793230 & 3283815385864 & 331839424 & 329715906 & 297449466 & 84776 & 804 & 930 & 40\\
158231 & 7046013476531 & 1036374145 & 30290799 & 135609771 & 84831 & 255 & 209 & 85\\
10258 & 8099798512072 & 24022596 & 382573088 & 103978728 & 678944 & 340 & 484 & 164\\
188740 & 564919194606 & 140730138 & 281475530 & 683221196 & 379688 & 16 & 2050 & 10\\
537599 & 7457286511807 & 23262437 & 306643805 & 346288531 & 206375 & 867 & 43 & 49\\
83636 & 375693290518 & 26821568 & 802226178 & 359693724 & 1832138 & 168 & 1704 & 16\\
39541 & 7750497829419 & 156552837 & 35869811 & 95481615 & 2787979 & 223 & 105 & 399\\
